language,male,mostly_male,neutral,mostly_female,female
JavaScript,26610,1785,9855,337,677
Python,11834,779,5303,141,344
Ruby,11650,972,3352,176,303
PHP,9371,616,4039,138,217
Java,6702,367,4272,82,134
Objective-C,6039,503,3043,65,167
C,4970,303,3304,62,107
C++,3291,187,2273,73,91
Shell,2631,202,1287,28,75
C#,2478,157,1090,29,27
Go,1502,78,778,36,59
Perl,1419,79,700,29,55
Clojure,1361,127,273,31,48
Scala,1169,49,369,18,25
Haskell,908,48,271,20,10
Erlang,655,28,187,3,5
R,291,22,111,3,25
